year,month,product,weighted_avg_price,date,prev_month_price,monthly_change,prev_year_price,yearly_change,ma_3,ma_6,ma_12,volatility
2024,8,포도,5863.5957963776145,2024-08-01,7958.229562604252,-0.2632034863720606,6984.975769350198,-0.16054171267037964,7408.807157375766,7167.093139005432,6635.235543320382,1356.6758592157641
2024,9,포도,4169.384756183279,2024-09-01,5863.5957963776145,-0.2889372151540489,5476.971514194368,-0.2387426618200017,5997.070038388381,6633.287145451937,6526.269980152792,1897.945671442169
2024,10,포도,3073.8432052968656,2024-10-01,4169.384756183279,-0.26275856390123364,4132.012041968253,-0.25609045325224566,4368.941252619253,6080.624942006795,6438.089243763509,1405.541524222176
2024,11,포도,4002.780312656697,2024-11-01,3073.8432052968656,0.30220705654702273,5472.832914211123,-0.2686090777113238,3748.669424712281,5578.738291044024,6315.584860300641,590.3237077727649
2024,12,포도,4043.7696308276586,2024-12-01,4002.780312656697,0.01024021179512502,6008.448068489978,-0.32698600624771246,3706.797716260407,4851.933877324394,6151.861657162114,548.5376839952384
2020,1,양파,833.4360410620617,2020-01-01,,,,,,,,
2020,2,양파,986.8580178364065,2020-02-01,833.4360410620617,0.18408368394872454,,,,,,
2020,3,양파,988.1636166910193,2020-03-01,986.8580178364065,0.00132298550654264,,,936.1525585298292,,,88.95750877594271
2020,4,양파,863.001392949653,2020-04-01,988.1636166910193,-0.12666143706088528,,,946.0076758256929,,,71.88851364971431
2020,6,양파,495.0759163210349,2020-06-01,863.001392949653,-0.42633242499306445,,,782.0803086539023,,,256.3104299023742
2020,7,양파,592.3486507703774,2020-07-01,495.0759163210349,0.19648044116584606,,,650.1419866803551,793.1472726050921,,190.64978716170023
2020,8,양파,853.7688053605237,2020-08-01,592.3486507703774,0.4413281844234085,,,647.0644574839788,796.5360666548358,,185.5007056323881
2020,9,양파,977.0534381602461,2020-09-01,853.7688053605237,0.1444004887806396,,,807.7236314303824,794.9019700421424,,196.44226096200313
2020,10,양파,1089.6100239497284,2020-10-01,977.0534381602461,0.1152000304112557,,,973.4774224901661,811.8097045852606,,117.9612691202699
2020,11,양파,1179.6729797068722,2020-11-01,1089.6100239497284,0.0826561373129393,,,1082.1121472722823,864.5883023781304,,101.51765004246235
2020,12,양파,1179.8609879867938,2020-12-01,1179.6729797068722,0.00015937321881209776,,,1149.7146638811314,978.719147655757,,52.05222994974363
2021,1,양파,1535.4690970460615,2021-01-01,1179.8609879867938,0.3013983110553089,,,1298.3343549132426,1135.9058887017043,964.5265806533981,205.36473232173324
2021,2,양파,1744.1324706043888,2021-02-01,1535.4690970460615,0.13589552141411,833.4360410620617,1.092701040840292,1486.487518545748,1284.299832909015,1040.4179497819255,285.306804682523
2021,3,양파,1502.5999877712884,2021-03-01,1744.1324706043888,-0.13848287724922803,986.8580178364065,0.522610102581522,1594.0671851405796,1371.8909245108555,1083.396447276499,130.9953701934919
2021,4,양파,798.3392444686768,2021-04-01,1502.5999877712884,-0.46869476176903013,988.1636166910193,-0.19209811919405761,1348.3572342814514,1323.3457945973469,1067.5777495913037,491.40037332519836
2021,5,양파,517.8885630794977,2021-05-01,798.3392444686768,-0.3512926156797278,863.001392949653,-0.39989834627102283,939.6092651064877,1213.048391826118,1038.818347102124,507.3283567157365
2021,6,양파,512.7178597079243,2021-06-01,517.8885630794977,-0.0099842007338935,495.0759163210349,0.03563482448911803,609.6485557520328,1101.8578704463062,1040.2885090510317,163.43138024752216
2021,7,양파,533.9131337548253,2021-07-01,512.7178597079243,0.04133905937853455,592.3486507703774,-0.09865054464048151,521.5065188474157,934.9318765644334,1035.418882633069,11.051113673955925
2021,8,양파,720.5492168724271,2021-08-01,533.9131337548253,0.3495626372871843,853.7688053605237,-0.15603707660862776,589.0600701117255,764.3346676091065,1024.3172502590608,114.36501518110207
2021,9,양파,836.2182125828608,2021-09-01,720.5492168724271,0.16052893126787326,977.0534381602461,-0.14414280742164165,696.8935210700378,653.2710384110353,1012.5809814609455,152.5345342184106
2021,10,양파,852.4534967746126,2021-10-01,836.2182125828608,0.019415128667916948,1089.6100239497284,-0.21765266651590343,803.0736420766335,662.2900804620245,992.8179375296858,71.92778795194603
2021,11,양파,849.5357299407466,2021-11-01,852.4534967746126,-0.0034227871020598988,1179.6729797068722,-0.2798548881302332,846.06914643274,717.5646082722328,965.3065000491753,8.65499937089
2021,12,양파,702.9169975734613,2021-12-01,849.5357299407466,-0.1725868932875979,1179.8609879867938,-0.40423744430023556,801.6354080962734,749.2644645831556,925.561167514731,85.50509793536838
2022,1,양파,545.3292056485478,2022-01-01,702.9169975734613,-0.22419118113365033,1535.4690970460615,-0.644845209390633,699.2606443875852,751.1671432321094,843.0495098982715,152.13621871352595
2022,2,양파,415.1110871992432,2022-02-01,545.3292056485478,-0.238788088186913,1744.1324706043888,-0.7619956659281757,554.4524301404175,700.2607882865788,732.2977279478428,144.1196913347714
2022,3,양파,386.2755901367284,2022-03-01,415.1110871992432,-0.06946453118626161,1502.5999877712884,-0.7429285283639151,448.9052943281731,625.2703512122233,639.2706948116293,84.74107314903462
2022,4,양파,503.6208351301885,2022-04-01,386.2755901367284,0.30378633284056056,798.3392444686768,-0.3691643763981989,435.0025041553867,567.131574271486,614.7108273667553,61.14922715812524
2022,5,양파,531.0833437201379,2022-05-01,503.6208351301885,0.054530127973856146,517.8885630794977,0.025478030567388288,473.6599229956849,514.0561765680512,615.810392420142,76.91270094345141
2022,6,양파,874.0776032585776,2022-06-01,531.0833437201379,0.6458388567335402,512.7178597079243,0.7047925807704576,636.2605940363013,542.5829441822372,645.9237043826964,206.41280181007258
2022,7,양파,1008.9097615852819,2022-07-01,874.0776032585776,0.15425650745888864,533.9131337548253,0.8896515140767762,804.6902361879992,619.8463701716929,685.506756701901,246.35437165635824
2022,8,양파,1186.5692260351436,2022-08-01,1008.9097615852819,0.17609053972350175,720.5492168724271,0.646756665957525,1023.1855302930011,748.422726644343,724.3417574654609,156.73417545490858
2022,9,양파,1271.8580696245497,2022-09-01,1186.5692260351436,0.0718785231556982,836.2182125828608,0.5209643254433678,1155.7790190816584,896.0198065589799,760.6450788856015,134.15096275598327
