MTC_NM,PDLT_NM,VOLUME_KG,rank
전남 진도군,배추,18639346.2,2
전남 진도군,양배추,2712967.0,3
전남 함평군,양파,28763647.05,1
전남 함평군,팽이버섯,3358062.5,2
전남 함평군,새송이,2131517.0,3
전남 해남군,배추,92363511.1,1
전남 해남군,고구마,14236165.5,2
전남 해남군,양파,11479649.5,3
전남 화순군,방울토마토,7892750.0,1
전남 화순군,토마토,7315011.0,2
전남 화순군,파프리카,2359161.8,3
전북 고창군,무,36121497.0,1
전북 고창군,고구마,15026468.3,2
전북 고창군,수박,14545842.0,3
전북 군산시,가지,1297240.0,1
전북 군산시,팽이버섯,402290.0,2
전북 군산시,대파,268005.7,3
전북 김제시,고구마,10839882.6,1
전북 김제시,감자,5833852.2,2
전북 김제시,무,2211699.65,3
전북 남원시,상추,12342330.9,1
전북 남원시,포도,7206436.9,2
전북 남원시,방울토마토,5918174.8,3
전북 무주군,사과,10057147.2,1
전북 무주군,무,3407854.6,2
전북 무주군,배추,1650081.5,3
전북 부안군,무,12390953.5,1
전북 부안군,감자,4256556.7,2
전북 부안군,양파,2959945.55,3
전북 순창군,두릅,658429.72,1
전북 순창군,딸기,509318.8,2
전북 순창군,배추,403911.2,3
전북 완주군,양파,16594481.55,1
전북 완주군,대파,6072223.85,2
전북 완주군,고구마,4126303.5,3
전북 익산시,배추,10680430.85,1
전북 익산시,무,10265915.15,2
전북 익산시,고구마,8832525.1,3
전북 임실군,오이,2154040.5,1
전북 임실군,양파,419714.1,2
전북 임실군,부추,286526.1,3
전북 장수군,토마토,6443914.5,1
전북 장수군,사과,5760561.1,2
전북 장수군,오이,2062351.5,3
전북 전주시,양파,8935402.05,1
전북 전주시,호박,4197630.85,2
전북 전주시,딸기,2776138.02,3
전북 정읍시,수박,2186003.5,1
전북 정읍시,양파,1315760.0,2
전북 정읍시,배추,1289657.1,3
전북 진안군,수박,5207042.8,1
전북 진안군,팽이버섯,1396265.0,2
전북 진안군,무,1373951.0,3
제주 남제주군,감귤,24161828.65,1
제주 남제주군,무,21583437.1,2
제주 남제주군,양배추,10841963.2,3
제주 북제주군,무,27177754.5,1
제주 북제주군,당근,16361290.0,2
제주 북제주군,감귤,9425586.62,3
제주 서귀포시,감귤,189172822.9,1
제주 서귀포시,무,70350705.4,2
제주 서귀포시,만감,22428091.4,3
제주 제주시,감귤,79796777.97,1
제주 제주시,무,29107737.74,2
제주 제주시,브로코리(녹색꽃양배추),24040541.0,3
충남 계룡시,방울토마토,333431.0,1
충남 계룡시,사과,236437.0,2
충남 계룡시,고구마,191710.0,3
충남 공주시,오이,28725844.08,1
충남 공주시,배,3123787.5,2
